"";"n_center5";"n_center1";"n_center2";"n_center3";"n_center4";"p_center5";"p_center1";"p_center2";"p_center3";"p_center4";"norep";"CI_BayesGLM";"CI_BrGLM";"CI_GLM";"est.alpha_BayesGLM";"est.alpha_BrGLM";"est.alpha_GLM";"zerodatcov";"prop.fail_BayesGLM";"prop.fail_BrGLM";"prop.fail_GLM";"nsim"
"n";5;5;5;5;5;0,05;0,82;0,82;0,82;0,82;1;0;0,003;0,981;0,406;0,018;0;0,788;0;0;0;1000
"n1";10;10;10;10;10;0,05;0,6;0,6;0,6;0,6;1;0;0;0,592;0,313;0,114;0,102;0,582;0;0;0;1000
"n2";20;20;20;20;20;0,05;0,41;0,41;0,41;0,41;1;0;0,002;0,375;0,472;0,371;0,264;0,374;0;0;0;1000
"n3";25;25;25;25;25;0,05;0,36;0,36;0,36;0,36;1;0;0;0,274;0,516;0,376;0,319;0,274;0;0;0;1000
"n4";30;30;30;30;30;0,05;0,32;0,32;0,32;0,32;1;0;0,004;0,22;0,53;0,438;0,379;0,217;0;0;0;1000
"n5";50;50;50;50;50;0,05;0,24;0,24;0,24;0,24;1;0;0;0,079;0,653;0,61;0,587;0,078;0;0;0;1000
"n6";80;80;80;80;80;0,05;0,19;0,19;0,19;0,19;1;0,001;0,001;0,018;0,713;0,701;0,706;0,017;0;0;0;1000
"n7";100;100;100;100;100;0,05;0,17;0,17;0,17;0,17;1;0,002;0,003;0,014;0,755;0,739;0,754;0,01;0;0;0;1000
"n8";150;150;150;150;150;0,05;0,14;0,14;0,14;0,14;1;0,002;0,003;0,007;0,739;0,736;0,748;0,003;0;0;0;1000
"n9";200;200;200;200;200;0,05;0,12;0,12;0,12;0,12;1;0,008;0,009;0,009;0,708;0,699;0,715;0;0;0;0;1000
"n10";300;300;300;300;300;0,05;0,11;0,11;0,11;0,11;1;0,002;0,002;0,002;0,757;0,756;0,764;0;0;0;0;1000
