"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha";"nsim"
"n1";4;2;35;3,25718786587332;1;1;0,914;1000
"n11";6;3;35;2,31207066364062;1;1;0,709;1000
"n12";10;5;35;1,66031241810661;1;1;0,552;1000
"n13";20;10;35;1,1241086604229;1;1;0,605;1000
"n14";40;20;35;0,780250299405515;1;1;0,601;1000
"n15";80;40;35;0,546982069471419;1;1;0,613;1000
"n16";100;50;35;0,488425217736163;1;1;0,651;1000
"n17";160;80;35;0,385182498203174;1;1;0,636;1000
"n18";200;100;35;0,344232202078195;1;1;0,638;1000
"n19";400;200;35;0,243014327876973;1;1;0,662;1000
"n110";20;2;35;2,18438951575116;1;1;0,457;1000
"n111";30;3;35;1,75131693728637;1;1;0,325;1000
"n112";50;5;35;1,33847426331273;1;1;0,333;1000
"n113";100;10;35;0,937546077728571;1;1;0,415;1000
"n114";200;20;35;0,659940944048165;1;1;0,463;1000
"n115";400;40;35;0,46561337590747;1;1;0,484;1000
"n116";500;50;35;0,416273109494383;1;1;0,474;1000
"n117";800;80;35;0,328874317820038;1;1;0,498;1000
"n118";1000;100;35;0,294090002518281;1;1;0,496;1000
"n119";2000;200;35;0,207864285253975;1;1;0,507;1000
