"";"n_center5";"n_center1";"n_center2";"n_center3";"n_center4";"p_center5";"p_center1";"p_center2";"p_center3";"p_center4";"norep";"CI_BayesGLM";"CI_BrGLM";"CI_GLM";"est.alpha_BayesGLM";"est.alpha_BrGLM";"est.alpha_GLM";"zerodatcov";"prop.fail_BayesGLM";"prop.fail_BrGLM";"prop.fail_GLM";"nsim"
"n";5;5;5;5;5;0,4;0,4;0,4;0,4;0,4;1;0,995;1;1;0,005;0;0;0,068;0;0;0;1000
"n1";10;10;10;10;10;0,2;0,2;0,2;0,2;0,2;1;0,979;0,989;0,998;0,021;0,011;0,002;0,091;0;0;0;1000
"n2";20;20;20;20;20;0,25;0,25;0,25;0,25;0,25;1;0,972;0,972;0,96;0,028;0,028;0,04;0,001;0;0;0;1000
"n3";25;25;25;25;25;0,36;0,36;0,36;0,36;0,36;1;0,976;0,98;0,968;0,024;0,02;0,033;0;0;0;0;1000
"n4";30;30;30;30;30;0,766666666666667;0,766666666666667;0,766666666666667;0,766666666666667;0,766666666666667;1;0,964;0,969;0,954;0,036;0,031;0,046;0;0;0;0;1000
"n5";50;50;50;50;50;0,88;0,88;0,88;0,88;0,88;1;0,96;0,96;0,951;0,041;0,04;0,049;0;0;0;0;1000
"n6";80;80;80;80;80;0,375;0,375;0,375;0,375;0,375;1;0,95;0,952;0,947;0,05;0,049;0,052;0;0;0;0;1000
"n7";100;100;100;100;100;0,33;0,33;0,33;0,33;0,33;1;0,96;0,961;0,956;0,04;0,039;0,044;0;0;0;0;1000
"n8";200;200;200;200;200;0,25;0,25;0,25;0,25;0,25;1;0,941;0,941;0,937;0,059;0,059;0,063;0;0;0;0;1000
"n9";150;150;150;150;150;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;1;0,953;0,953;0,951;0,047;0,047;0,049;0;0;0;0;1000
"n10";300;300;300;300;300;0,15;0,15;0,15;0,15;0,15;1;0,946;0,944;0,94;0,054;0,056;0,06;0;0;0;0;1000
"n11";400;400;400;400;400;0,1;0,1;0,1;0,1;0,1;1;0,952;0,951;0,948;0,048;0,048;0,052;0;0;0;0;1000
"n12";500;500;500;500;500;0,178;0,178;0,178;0,178;0,178;1;0,947;0,947;0,947;0,053;0,053;0,054;0;0;0;0;1000
"n13";1000;1000;1000;1000;1000;0,18;0,18;0,18;0,18;0,18;1;0,947;0,948;0,946;0,053;0,052;0,056;0;0;0;0;1000
"n14";1500;1500;1500;1500;1500;0,133333333333333;0,133333333333333;0,133333333333333;0,133333333333333;0,133333333333333;1;0,942;0,941;0,941;0,059;0,057;0,059;0;0;0;0;1000
"n15";2000;2000;2000;2000;2000;0,14;0,14;0,14;0,14;0,14;1;0,949;0,948;0,946;0,051;0,051;0,053;0;0;0;0;1000
