"";"n_center5";"n_center1";"n_center2";"n_center3";"n_center4";"p_center5";"p_center1";"p_center2";"p_center3";"p_center4";"norep";"CI_BayesGLM";"CI_BrGLM";"CI_GLM";"est.alpha_BayesGLM";"est.alpha_BrGLM";"est.alpha_GLM";"zerodatcov";"prop.fail_BayesGLM";"prop.fail_BrGLM";"prop.fail_GLM";"nsim"
"n2";5;10;10;10;10;0,05;0,730523770571153;0,730523770571153;0,730523770571153;0,730523770571153;1;0;0;0,827;0,102;0,009;0;0,78;0;0;0;1000
"n21";10;20;20;20;20;0,05;0,526440007220969;0,526440007220969;0,526440007220969;0,526440007220969;1;0;0;0,577;0,034;0,006;0,012;0,577;0;0;0;1000
"n22";15;30;30;30;30;0,05;0,423180460494978;0,423180460494978;0,423180460494978;0,423180460494978;1;0;0;0,481;0,049;0,009;0,01;0,481;0;0;0;1000
"n23";20;40;40;40;40;0,05;0,360468707101973;0,360468707101973;0,360468707101973;0,360468707101973;1;0;0;0,372;0,086;0,025;0,02;0,372;0;0;0;1000
"n24";25;50;50;50;50;0,05;0,318125579552304;0,318125579552304;0,318125579552304;0,318125579552304;1;0;0;0,262;0,153;0,061;0,058;0,262;0;0;0;1000
"n25";30;60;60;60;60;0,05;0,287480338258348;0,287480338258348;0,287480338258348;0,287480338258348;1;0;0;0,213;0,24;0,086;0,087;0,213;0;0;0;1000
"n26";35;70;70;70;70;0,05;0,26419458506737;0,26419458506737;0,26419458506737;0,26419458506737;1;0;0;0,148;0,333;0,168;0,177;0,148;0;0;0;1000
"n27";40;80;80;80;80;0,05;0,245815823561897;0,245815823561897;0,245815823561897;0,245815823561897;1;0;0;0,12;0,4;0,237;0,253;0,12;0;0;0;1000
"n28";45;90;90;90;90;0,05;0,230928773033339;0,230928773033339;0,230928773033339;0,230928773033339;1;0;0;0,084;0,441;0,291;0,305;0,084;0;0;0;1000
"n29";50;100;100;100;100;0,05;0,218624933949954;0,218624933949954;0,218624933949954;0,218624933949954;1;0;0;0,078;0,496;0,357;0,384;0,078;0;0;0;1000
"n210";75;150;150;150;150;0,05;0,178754604411226;0,178754604411226;0,178754604411226;0,178754604411226;1;0;0,001;0,023;0,561;0,494;0,528;0,022;0;0;0;1000
"n211";100;200;200;200;200;0,05;0,000515601508134505;0,000515601508134505;0,000515601508134505;0,000515601508134505;1;0;0;1;0,879;0,879;0;0,006;0;0;0;1000
"n212";150;300;300;300;300;0,05;0,0064359300856543;0,0064359300856543;0,0064359300856543;0,0064359300856543;1;0,001;0,005;0,477;0,869;0,886;0,441;0,001;0;0;0;1000
