"";"n_center5";"n_center1";"n_center2";"n_center3";"n_center4";"p_center5";"p_center1";"p_center2";"p_center3";"p_center4";"norep";"CI_BayesGLM";"CI_BrGLM";"CI_GLM";"est.alpha_BayesGLM";"est.alpha_BrGLM";"est.alpha_GLM";"zerodatcov";"prop.fail_BayesGLM";"prop.fail_BrGLM";"prop.fail_GLM";"nsim"
"n";5;5;5;5;5;0,4;0,4;0,4;0,4;0,4;1;0,999;1;1;0,001;0;0;0,007;0;0;0;1000
"n1";10;10;10;10;10;0,2;0,2;0,2;0,2;0,2;1;0,998;1;1;0,002;0;0;0,012;0;0;0;1000
"n2";20;20;20;20;20;0,25;0,25;0,25;0,25;0,25;1;0,989;0,996;0,998;0,011;0,004;0,002;0;0;0;0;1000
"n3";25;25;25;25;25;0,36;0,36;0,36;0,36;0,36;1;0,988;0,998;0,99;0,011;0,002;0,01;0;0;0;0;1000
"n4";30;30;30;30;30;0,766666666666667;0,766666666666667;0,766666666666667;0,766666666666667;0,766666666666667;1;0,985;0,993;0,994;0,015;0,007;0,006;0;0;0;0;1000
"n5";50;50;50;50;50;0,88;0,88;0,88;0,88;0,88;1;0,98;0,98;0,985;0,021;0,02;0,015;0;0;0;0;1000
"n6";80;80;80;80;80;0,0375;0,0375;0,0375;0,0375;0,0375;1;0,991;0,986;0,997;0,009;0,014;0,003;0,001;0;0;0;1000
"n7";100;100;100;100;100;0,33;0,33;0,33;0,33;0,33;1;0,964;0,968;0,953;0,036;0,032;0,047;0;0;0;0;1000
"n8";200;200;200;200;200;0,12;0,12;0,12;0,12;0,12;1;0,969;0,964;0,958;0,031;0,036;0,042;0;0;0;0;1000
"n9";150;150;150;150;150;0,0333333333333333;0,0333333333333333;0,0333333333333333;0,0333333333333333;0,0333333333333333;1;0,987;0,983;0,997;0,013;0,017;0,005;0;0;0;0;1000
"n10";300;300;300;300;300;0,15;0,15;0,15;0,15;0,15;1;0,953;0,951;0,943;0,046;0,049;0,057;0;0;0;0;1000
"n11";400;400;400;400;400;0,0275;0,0275;0,0275;0,0275;0,0275;1;0,97;0,966;0,968;0,03;0,034;0,033;0;0;0;0;1000
"n12";500;500;500;500;500;0,178;0,178;0,178;0,178;0,178;1;0,947;0,941;0,942;0,052;0,059;0,058;0;0;0;0;1000
"n13";1000;1000;1000;1000;1000;0,18;0,18;0,18;0,18;0,18;1;0,957;0,955;0,956;0,043;0,045;0,044;0;0;0;0;1000
"n14";1500;1500;1500;1500;1500;0,133333333333333;0,133333333333333;0,133333333333333;0,133333333333333;0,133333333333333;1;0,946;0,946;0,945;0,054;0,054;0,055;0;0;0;0;1000
"n15";2000;2000;2000;2000;2000;0,14;0,14;0,14;0,14;0,14;1;0,955;0,954;0,954;0,045;0,046;0,045;0;0;0;0;1000
