"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha_lm";"est.alpha_nparcomp";"nsim"
"n1";4;2;35;3,25718786587332;1;1;0,92;0,952;1000
"n11";6;3;35;2,31207066364062;1;1;0,832;0,806;1000
"n12";10;5;35;1,66031241810661;1;1;0,788;0,666;1000
"n13";20;10;35;1,1241086604229;1;1;0,762;0,656;1000
"n14";40;20;35;0,780250299405515;1;1;0,725;0,651;1000
"n15";80;40;35;0,546982069471419;1;1;0,735;0,678;1000
"n16";100;50;35;0,488425217736163;1;1;0,726;0,679;1000
"n17";160;80;35;0,385182498203174;1;1;0,693;0,659;1000
"n18";200;100;35;0,344232202078195;1;1;0,73;0,687;1000
"n19";400;200;35;0,243014327876973;1;1;0,718;0,693;1000
"n110";20;2;35;2,18438951575116;1;1;0,599;0,523;1000
"n111";30;3;35;1,75131693728637;1;1;0,62;0,508;1000
"n112";50;5;35;1,33847426331273;1;1;0,575;0,465;1000
"n113";100;10;35;0,937546077728571;1;1;0,567;0,451;1000
"n114";200;20;35;0,659940944048165;1;1;0,58;0,478;1000
"n115";400;40;35;0,46561337590747;1;1;0,556;0,503;1000
"n116";500;50;35;0,416273109494383;1;1;0,564;0,515;1000
"n117";800;80;35;0,328874317820038;1;1;0,565;0,533;1000
"n118";1000;100;35;0,294090002518281;1;1;0,578;0,537;1000
"n119";2000;200;35;0,207864285253975;1;1;0,587;0,545;1000
